Solution,Cedar Div Min Elev,Dogwood Div Min Elev,Hickory Elev Min to Irrig,Cedar Elev Limits Row 0,Cedar Elev Limits Row 1,Energy (Negated),Spill,West Basin Irrig (Negated),East Basin Irrig (Negated),Total Depletion Shortage,Transbasin Diversion
55,236.0,171.5,136.0,207.5,213.5,-12590387.57,2614.64,-5658.91,-2004.3,2027.93,2224.79
56,229.0,172.0,134.0,200.0,204.0,-12566217.26,2495.27,-5603.82,-2397.38,1561.82,2846.26
57,230.0,172.0,135.0,208.5,241.0,-12572725.08,2495.27,-5603.82,-2352.8,1634.37,2759.55
58,238.5,171.5,137.0,204.5,205.5,-12625408.04,2735.7,-5675.64,-1596.21,2554.5,1619.87
59,237.5,172.0,133.5,204.5,208.5,-12618229.6,2677.85,-5603.82,-1826.34,2309.55,1975.21
60,237.5,171.0,137.0,221.5,226.5,-12591649.09,2677.85,-5713.14,-1828.78,2197.92,1975.21
61,220.0,172.0,136.0,215.0,223.0,-12546365.99,2495.27,-5603.82,-2540.56,1336.69,3096.0
62,228.0,172.0,137.0,203.5,205.5,-12560197.33,2495.27,-5603.82,-2449.42,1484.74,2924.71
63,230.0,172.0,138.5,208.5,241.0,-12570575.74,2495.27,-5603.82,-2343.13,1625.27,2759.55
64,241.5,172.0,136.0,210.0,224.0,-12686754.12,2901.06,-5909.17,-894.0499999999998,3339.98,486.99
65,232.5,171.5,134.5,201.5,212.5,-12568321.58,2495.27,-5658.91,-2286.21,1688.42,2637.9
66,230.5,172.0,137.5,202.5,208.0,-12574265.07,2495.27,-5603.82,-2325.59,1661.84,2720.32
67,229.0,171.5,134.0,200.0,204.0,-12551981.9,2495.27,-5658.91,-2397.38,1506.72,2846.26
68,238.5,172.0,136.0,200.5,201.5,-12638924.6,2735.7,-5620.55,-1596.2,2609.59,1619.87
69,237.5,171.0,140.0,207.5,209.0,-12593640.62,2677.85,-5713.14,-1816.39,2195.47,1975.21
70,233.0,171.5,135.5,203.0,210.0,-12570309.35,2495.27,-5658.91,-2271.57,1711.55,2609.1
71,220.0,171.5,136.0,215.0,223.0,-12529002.45,2495.27,-5658.91,-2540.56,1281.6,3096.0
72,235.0,172.0,139.5,207.0,207.5,-12598542.46,2593.78,-5603.82,-2074.01,1987.67,2329.77
73,227.0,171.5,133.0,218.0,223.5,-12538586.79,2495.27,-5658.91,-2488.56,1358.68,3017.55
74,226.5,171.5,134.0,200.0,234.5,-12534492.98,2495.27,-5658.91,-2512.66,1321.95,3056.78
75,238.5,171.0,139.5,201.0,224.0,-12612963.83,2735.7,-5729.87,-1588.63,2499.73,1619.87
76,228.0,171.0,137.0,204.5,207.5,-12531775.69,2495.27,-5713.14,-2449.42,1375.42,2924.71
